_id,text,ujaran_kebencian,lainnya,label
662a9d7f3981ede3a350831d,sampai sultannya turun tangan memang bjgn tengik si aa ini,0.8905246257781982,0.10947538167238235,HS
662ab35c3981ede3a3508f81,setelah pencerobohan us ke atas iraq pada 2003 kelompok houthi berpegang pada slogan: allah maha besar. kematian bagi us. kematian bagi israel. terkutuk lah yahudi dan kemenangan bagi islam. macam mana pulak perang saudara yaman berlaku?,0.7425045967102051,0.2574954032897949,HS
6628e78f6e9ad0d1f2605b72,what is the benefit of memorizing the verse of surah-kahf? whoever memorizes ten verses of the beginning of surah kahf will be protected from the dajjal.,0.6191424131393433,0.38085755705833435,HS
6629d0453981ede3a34fa2fd,mata duitan harap x dpt cm ni ludah jilat balik,0.5744308829307556,0.42556917667388916,HS
662879deb672479a85d0f243,rooter aplikasi burik,0.7444835305213928,0.2555164098739624,HS
662793484b39359fcce994da,any boys looking for mommy to help them nut ? ? send me that dick and i?ll send youu asw ! !,0.8789333701133728,0.12106666713953018,HS
6629dbda3981ede3a34fac5f,modar we aing anjing,0.6564310789108276,0.34356895089149475,HS
66293a1f6e9ad0d1f260e3a1,sp kawasan ph wahai hamba taik politik.. ni kalu aku ckp anak walanon kunyit mesti mengamuk kan.. ingat dosa pahala skit bodoh kalau ko kapir lantak kau la,0.686728298664093,0.3132716715335846,HS
662a92743981ede3a3507c76,tai kucing ??? najiss,0.8441411852836609,0.15585875511169434,HS
66278c674b39359fcce94e72,kalo anak anjing itu tau semua orang di dalem polresta sampe temen temen lapas gua ngomong apa aja tentang dia pasti sakit hati banget pasti nangis dia cuma gua bisa kontrol mulut gua ko karna kalo dulu orang ngehina pasangan lu berarti dia sirik sama hubungan lu tp dianya tai,0.5162602663040161,0.4837396740913391,HS
662a01d03981ede3a34fc3c8,pengen ngewe oyyy,0.691129744052887,0.30887022614479065,HS
66287f7bb672479a85d0fd1f,luar biasa para cecunguk mau memberangus lawan krn tuannya bukan lawan yg sebanding.,0.662598729133606,0.33740127086639404,HS
662a9be13981ede3a3508205,anjay makin jelas klo belio gemoy ini pro zionist tengik ?,0.5763452649116516,0.4236547648906708,HS
662919c36e9ad0d1f260b42c,sungguh menjijikan. bagaimana bisa tentara iblis israel ini membom rumah rumah penduduk sipil sambil tersenyum. terlihat mereka benar benar sakit jiwa. mereka bersenang-senang dulu sebelum akhirnya mereka dikirim ke neraka.,0.9943261742591858,0.0056738704442977905,HS
66279cbb4b39359fcce9cfef,kurang bangsat apa manusia 1 ini. melakukan segala cara utk mengusir rakyat palestina dari tanah airnya. shame on u,0.7346993684768677,0.2653006315231323,HS
6628f69b6e9ad0d1f260735e,i m stealing this dongo,0.9464043974876404,0.053595639765262604,HS
66288278b672479a85d10763,joe bidan has given the green light for china to invade taiwan,0.5088568925857544,0.4911430776119232,HS
662931da6e9ad0d1f260d95e,allah saying not to annoy muhammad ?,0.5685123801231384,0.4314875602722168,HS
66278c404b39359fcce94bbc,anjim dapet sunsun. geemeterrrrrr,0.7803473472595215,0.2196526825428009,HS
6629d3d83981ede3a34fa6d2,makannya gw heran secara si glazer itu mata duitan masak mau di tebus full cash kok gamau eh ternyata,0.7399381399154663,0.2600618898868561,HS
662900cd6e9ad0d1f2608ece,gila gue sinting,0.7890574932098389,0.21094244718551636,HS
662928006e9ad0d1f260ca5d,cok jancok good morning,0.9100475907325745,0.08995243906974792,HS
662aae023981ede3a3508dcb,laknatullah dan terkutuk zulkifli hasan yg mempermainkan ummul qur'an,0.9111722707748413,0.0888277143239975,HS
