_id,text,ujaran_kebencian,lainnya,label
662928f56e9ad0d1f260cc66,bahkan terhadap hewanpun tak berperikehewanan... zionist jancuk tak layak dimanusiakan,0.6729111671447754,0.327088862657547,HS
66278d674b39359fcce95e67,anjir inilah visualisasi kating!jyung di au moonphase gue,0.9222930073738098,0.07770698517560959,HS
662948ba6e9ad0d1f260efc2,pantat ah aku nak nengok story family aku je dah pahal lak ada family si keparat ni,0.5589429140090942,0.44105708599090576,HS
662aac753981ede3a3508ba2,iya anjir. terkutuk deh buat yg memulai pakai istilah itu,0.8365030288696289,0.1634969264268875,HS
662a4f533981ede3a3500f79,oh cwap watching xianyun trailer and guide makes me want her lolll sialan.. should i? i got xiao tho,0.8405691981315613,0.15943081676959991,HS
6629c2f73981ede3a34f9267,brusaha buat gwaenchana pdhl aslinya loyo mampus,0.8761957883834839,0.12380421906709671,HS
662a133e3981ede3a34fdb71,pengen jadi pelakor,0.8080552220344543,0.19194474816322327,HS
662958746e9ad0d1f26101aa,kuy musnahin akun dr. laknat ini !!!,0.9477167129516602,0.052283260971307755,HS
662a92bc3981ede3a3507d2f,sister brother peang bangga paling cepat kalo mikir cabul kuliah pelayanan sibuk mikir mau nyedot jadi ketua pula pengen jadi artis sampe halu mantan agnezmo. pengen situmengeong juga ya makan tai kucing. pada gamau ngaku dosa ngejar2 ice cream maku bawa gw semangat pelayanan.,0.6558645367622375,0.34413543343544006,HS
6629503e6e9ad0d1f260f94b,saya faham macam mana rasa adik kena pukul. adik saya penah kena benda yg sama siap family saya pn ada kt situ.bdk tu anak org kaya yg kurang ajar. saya paksa adik saya report polis. akhirnya dia nak. cikgu2 merayu dgn alasan parents bdk ni one of their biggest sponsor. guess?,0.5506106615066528,0.44938933849334717,HS
6629260f6e9ad0d1f260c6fd,belum belum palaku migrain jancok,0.5821458697319031,0.41785410046577454,HS
662a8f133981ede3a350785c,offer offer tai kucing bgst lah kasih moya tiketnya ???????,0.5899493098258972,0.41005071997642517,HS
662796144b39359fcce9a5ab,ini apa sih anjing bajingan,0.6878191828727722,0.3121808171272278,HS
6628d3736e9ad0d1f2604518,omagaa jisungg cindo inimahh,0.7164387106895447,0.2835613489151001,HS
662884f0b672479a85d11184,pengen punya pacar chindo biar bisa les mandarin gratis?,0.5212551355361938,0.4787449240684509,HS
662902ae6e9ad0d1f26092a7,words of the day: gila gokil orgil crazy insane.,0.7224493622779846,0.27755066752433777,HS
66279c194b39359fcce9cccb,bangsat beli cilok 35 ribu dan ketinggalan,0.5662816166877747,0.43371838331222534,HS
6628e0416e9ad0d1f2605764,omg de cuki,0.5613446831703186,0.438655287027359,HS
6628ea1e6e9ad0d1f26060fb,they sided with dajjal in his war against khurasaan? but failed?,0.5908715724945068,0.40912845730781555,HS
662a59b43981ede3a3501ff9,asal tutup sial???? perogol kot kimak mak kau anjing,0.5614704489707947,0.4385295510292053,HS
